Team,RS,RA,OBP,SLG,BA,Playoffs
ATL,630,660,0.307,0.38,0.25,0
BAL,805,640,0.342,0.413,0.273,0
BOS,757,767,0.34,0.436,0.283,0
CAL,698,797,0.332,0.378,0.265,0
CHC,614,728,0.309,0.365,0.251,0
CHW,587,722,0.311,0.37,0.259,0
CIN,707,670,0.327,0.386,0.262,0
CLE,738,807,0.35,0.381,0.277,0
DET,830,757,0.348,0.409,0.273,0
HOU,637,589,0.326,0.367,0.261,1
KCR,809,694,0.345,0.413,0.286,1
LAD,663,591,0.323,0.388,0.263,0
MIL,811,682,0.329,0.448,0.275,0
MIN,670,724,0.319,0.381,0.265,0
MON,694,629,0.324,0.388,0.257,0
NYM,611,702,0.319,0.345,0.257,0
NYY,820,662,0.343,0.425,0.267,1
OAK,686,642,0.322,0.385,0.259,0
PHI,728,639,0.327,0.4,0.27,1
PIT,666,646,0.322,0.388,0.266,0
SDP,591,654,0.324,0.342,0.255,0
SEA,610,793,0.308,0.356,0.248,0
SFG,573,634,0.308,0.342,0.244,0
STL,738,710,0.328,0.4,0.275,0
TEX,756,752,0.339,0.405,0.284,0
TOR,624,762,0.309,0.383,0.251,0
ATL,669,763,0.318,0.377,0.256,0
BAL,757,582,0.336,0.419,0.261,1
BOS,841,711,0.344,0.456,0.283,0
CAL,866,768,0.351,0.429,0.282,1
CHC,706,707,0.329,0.403,0.269,0
CHW,730,748,0.333,0.41,0.275,0
CIN,731,644,0.338,0.396,0.264,1
CLE,760,805,0.34,0.384,0.258,0
DET,770,738,0.339,0.415,0.269,0
HOU,583,582,0.315,0.344,0.256,0
KCR,851,816,0.343,0.422,0.282,0
LAD,739,717,0.331,0.412,0.263,0
MIL,807,722,0.345,0.448,0.28,0
MIN,764,725,0.341,0.402,0.278,0
MON,701,581,0.319,0.408,0.264,0
NYM,593,706,0.313,0.35,0.25,0
NYY,734,672,0.328,0.406,0.266,0
OAK,573,860,0.302,0.346,0.239,0
PHI,683,718,0.34,0.396,0.266,0
PIT,775,643,0.33,0.416,0.272,1
SDP,603,681,0.311,0.348,0.242,0
SEA,711,820,0.331,0.404,0.269,0
SFG,672,751,0.319,0.365,0.246,0
STL,731,693,0.331,0.401,0.278,0
TEX,750,698,0.334,0.409,0.278,0
TOR,613,862,0.311,0.363,0.251,0
ATL,600,750,0.315,0.363,0.244,0
BAL,659,633,0.326,0.396,0.258,0
BOS,796,657,0.336,0.424,0.267,0
CAL,691,666,0.33,0.37,0.259,0
CHC,664,724,0.331,0.361,0.264,0
CHW,634,731,0.317,0.379,0.264,0
CIN,710,688,0.334,0.393,0.256,0
CLE,639,694,0.323,0.379,0.261,0
DET,714,653,0.339,0.392,0.271,0
HOU,605,634,0.313,0.355,0.258,0
KCR,743,634,0.329,0.399,0.268,1
LAD,727,573,0.338,0.402,0.264,1
MIL,804,650,0.339,0.432,0.276,0
MIN,666,678,0.339,0.375,0.267,0
MON,633,611,0.306,0.379,0.254,0
NYM,607,690,0.314,0.352,0.245,0
NYY,735,582,0.329,0.388,0.267,1
OAK,532,690,0.303,0.351,0.245,0
PHI,708,586,0.328,0.388,0.258,1
PIT,684,637,0.32,0.385,0.257,0
SDP,591,598,0.321,0.348,0.252,0
SEA,614,834,0.314,0.359,0.248,0
SFG,613,594,0.318,0.374,0.248,0
STL,600,657,0.303,0.358,0.249,0
TEX,692,632,0.332,0.381,0.253,0
TOR,590,775,0.308,0.359,0.25,0
ATL,678,895,0.32,0.376,0.254,0
BAL,719,653,0.329,0.393,0.261,0
BOS,859,712,0.345,0.465,0.281,0
CAL,675,695,0.324,0.386,0.255,0
CHC,692,739,0.33,0.387,0.266,0
CHW,844,771,0.344,0.444,0.278,0
CIN,802,725,0.345,0.436,0.274,0
CLE,676,739,0.334,0.38,0.269,0
DET,714,751,0.318,0.41,0.264,0
HOU,680,650,0.32,0.385,0.254,0
KCR,822,651,0.34,0.436,0.277,1
LAD,769,582,0.336,0.418,0.266,1
MIL,639,765,0.314,0.389,0.258,0
MIN,867,776,0.348,0.417,0.282,0
MON,665,736,0.318,0.402,0.26,0
NYM,587,663,0.313,0.346,0.244,0
NYY,831,651,0.344,0.444,0.281,1
OAK,605,749,0.308,0.352,0.24,0
PHI,847,668,0.346,0.448,0.279,1
PIT,734,665,0.331,0.413,0.274,0
SDP,692,834,0.324,0.375,0.249,0
SEA,624,855,0.312,0.381,0.256,0
SFG,673,711,0.323,0.383,0.253,0
STL,737,688,0.33,0.388,0.27,0
TEX,767,657,0.342,0.405,0.27,0
TOR,605,822,0.316,0.365,0.252,0
ATL,620,700,0.32,0.334,0.245,0
BAL,619,598,0.31,0.358,0.243,0
BOS,716,660,0.324,0.402,0.263,0
CAL,550,631,0.306,0.318,0.235,0
CHC,611,728,0.313,0.356,0.251,0
CHW,586,745,0.314,0.349,0.255,0
CIN,857,633,0.357,0.424,0.28,1
CLE,615,615,0.321,0.359,0.263,0
DET,609,709,0.315,0.365,0.257,0
HOU,625,657,0.322,0.347,0.256,0
KCR,713,611,0.327,0.371,0.269,1
LAD,608,543,0.313,0.349,0.251,0
MIL,570,655,0.311,0.34,0.246,0
MIN,743,704,0.341,0.375,0.274,0
MON,531,734,0.291,0.34,0.235,0
NYM,615,538,0.319,0.352,0.246,0
NYY,730,575,0.328,0.389,0.269,1
OAK,686,598,0.323,0.361,0.246,0
PHI,770,557,0.338,0.395,0.272,1
PIT,708,630,0.321,0.391,0.267,0
SDP,570,662,0.31,0.337,0.247,0
SFG,595,686,0.312,0.345,0.246,0
STL,629,671,0.323,0.359,0.26,0
TEX,616,652,0.321,0.341,0.25,0
ATL,583,739,0.313,0.346,0.244,0
BAL,682,553,0.326,0.373,0.252,0
BOS,796,709,0.344,0.417,0.275,1
CAL,628,723,0.322,0.328,0.246,0
CHC,712,827,0.338,0.368,0.259,0
CHW,655,703,0.331,0.358,0.255,0
CIN,840,586,0.353,0.401,0.271,1
CLE,688,703,0.327,0.392,0.261,0
DET,570,786,0.301,0.366,0.249,0
HOU,664,711,0.32,0.359,0.254,0
KCR,710,649,0.333,0.394,0.261,0
LAD,648,534,0.325,0.365,0.248,0
MIL,675,792,0.32,0.389,0.25,0
MIN,724,736,0.341,0.386,0.271,0
MON,601,690,0.317,0.348,0.244,0
NYM,646,625,0.319,0.361,0.256,0
NYY,681,588,0.325,0.382,0.264,0
OAK,758,606,0.333,0.391,0.254,1
PHI,735,694,0.342,0.402,0.269,0
PIT,712,565,0.323,0.402,0.263,1
SDP,552,683,0.31,0.335,0.244,0
SFG,659,671,0.333,0.365,0.259,0
STL,662,689,0.327,0.375,0.273,0
TEX,714,733,0.33,0.371,0.256,0
ATL,661,563,0.319,0.363,0.249,0
BAL,659,612,0.322,0.37,0.256,1
BOS,696,661,0.333,0.377,0.264,0
CAL,618,657,0.321,0.356,0.254,0
CHC,669,826,0.327,0.365,0.251,0
CHW,684,721,0.33,0.389,0.268,0
CIN,776,631,0.343,0.394,0.26,0
CLE,662,694,0.311,0.37,0.255,0
DET,620,768,0.303,0.366,0.247,0
HOU,653,632,0.322,0.378,0.263,0
KCR,667,662,0.327,0.364,0.259,0
LAD,798,561,0.342,0.401,0.272,1
MIL,647,660,0.309,0.369,0.244,0
MIN,673,669,0.336,0.378,0.272,0
MON,662,657,0.335,0.35,0.254,0
NYM,572,646,0.311,0.329,0.235,0
NYY,671,623,0.324,0.368,0.263,0
OAK,689,551,0.321,0.373,0.247,1
PHI,676,701,0.32,0.373,0.261,0
PIT,751,657,0.335,0.391,0.274,1
SDP,541,830,0.302,0.33,0.229,0
SFG,634,723,0.322,0.358,0.252,0
STL,677,643,0.331,0.365,0.265,0
TEX,690,698,0.336,0.377,0.272,0
ATL,799,774,0.339,0.427,0.266,0
BAL,754,561,0.345,0.389,0.266,1
BOS,738,647,0.338,0.401,0.267,0
CAL,629,657,0.318,0.348,0.253,0
CHC,614,655,0.32,0.357,0.247,0
CHW,652,705,0.324,0.372,0.256,0
CIN,741,621,0.332,0.383,0.254,1
CLE,680,826,0.315,0.387,0.256,0
DET,642,674,0.32,0.39,0.254,0
HOU,681,672,0.312,0.376,0.251,0
KCR,755,752,0.339,0.381,0.261,0
LAD,675,565,0.323,0.371,0.263,0
MIL,708,731,0.325,0.388,0.253,0
MIN,738,692,0.342,0.393,0.27,0
MON,668,702,0.34,0.364,0.251,0
NYM,608,588,0.315,0.338,0.246,1
NYY,641,610,0.322,0.378,0.261,0
OAK,758,615,0.333,0.389,0.26,1
PHI,642,717,0.31,0.371,0.249,0
PIT,704,693,0.315,0.405,0.261,0
SDP,548,770,0.296,0.351,0.244,0
SFG,739,702,0.335,0.407,0.262,0
STL,643,603,0.325,0.357,0.259,0
TEX,619,844,0.318,0.361,0.255,0
ATL,643,699,0.312,0.385,0.257,0
BAL,742,530,0.347,0.398,0.261,1
BOS,691,667,0.322,0.397,0.252,0
CAL,511,576,0.29,0.329,0.231,0
CHC,637,648,0.325,0.378,0.258,0
CHW,617,597,0.325,0.373,0.25,0
CIN,586,581,0.3,0.366,0.241,0
CLE,543,747,0.3,0.342,0.238,0
DET,701,645,0.325,0.405,0.254,0
HOU,585,567,0.302,0.34,0.24,0
KCR,603,566,0.313,0.353,0.25,0
LAD,663,587,0.325,0.37,0.266,0
MIL,534,609,0.304,0.329,0.229,0
MIN,654,670,0.323,0.372,0.26,0
MON,622,729,0.322,0.343,0.246,0
NYM,588,550,0.319,0.351,0.249,0
NYY,648,641,0.328,0.36,0.254,0
OAK,691,564,0.321,0.384,0.252,1
PHI,558,688,0.298,0.35,0.233,0
PIT,788,599,0.33,0.416,0.274,1
SDP,486,610,0.293,0.332,0.233,0
SFG,706,644,0.329,0.378,0.247,1
STL,739,699,0.338,0.385,0.275,0
WSA,537,660,0.307,0.326,0.23,0
ATL,736,772,0.334,0.404,0.27,0
BAL,792,574,0.344,0.401,0.257,1
BOS,786,722,0.335,0.428,0.262,0
CAL,631,630,0.309,0.363,0.251,0
CHC,806,679,0.333,0.415,0.259,0
CHW,633,822,0.315,0.362,0.253,0
CIN,775,681,0.336,0.436,0.27,1
CLE,649,675,0.314,0.394,0.249,0
DET,666,731,0.322,0.374,0.238,0
HOU,744,763,0.332,0.391,0.259,0
KCR,611,705,0.309,0.348,0.244,0
LAD,749,684,0.334,0.382,0.27,0
MIL,613,751,0.319,0.358,0.242,0
MIN,744,605,0.327,0.403,0.262,1
MON,687,807,0.323,0.365,0.237,0
NYM,695,630,0.333,0.37,0.249,0
NYY,680,612,0.324,0.365,0.251,0
OAK,678,593,0.325,0.392,0.249,0
PHI,594,730,0.305,0.356,0.238,0
PIT,729,664,0.325,0.406,0.27,1
SDP,681,788,0.312,0.391,0.246,0
SFG,831,826,0.351,0.409,0.262,0
STL,744,747,0.331,0.379,0.263,0
WSA,626,689,0.321,0.358,0.238,0
ATL,691,631,0.321,0.38,0.258,1
BAL,779,517,0.343,0.414,0.265,1
BOS,743,736,0.333,0.415,0.251,0
CAL,528,652,0.3,0.319,0.23,0
CHC,720,611,0.323,0.384,0.253,0
CHW,625,723,0.32,0.357,0.247,0
CIN,798,768,0.335,0.422,0.277,0
CLE,573,717,0.307,0.345,0.237,0
DET,701,601,0.316,0.387,0.242,0
HOU,676,668,0.33,0.352,0.24,0
KCR,586,688,0.309,0.338,0.24,0
LAD,645,561,0.315,0.359,0.254,0
MIN,790,618,0.34,0.408,0.268,1
MON,582,791,0.31,0.359,0.24,0
NYM,632,541,0.311,0.351,0.242,1
NYY,562,587,0.308,0.344,0.235,0
OAK,740,678,0.329,0.376,0.249,0
PHI,645,745,0.312,0.372,0.241,0
PIT,725,652,0.334,0.398,0.277,0
SDP,468,746,0.285,0.329,0.225,0
SEP,639,799,0.316,0.346,0.234,0
SFG,713,636,0.334,0.361,0.242,0
STL,595,540,0.316,0.359,0.253,0
WSA,694,644,0.33,0.378,0.251,0
ATL,514,549,0.307,0.339,0.252,0
BAL,579,497,0.304,0.352,0.225,0
BOS,614,611,0.313,0.352,0.236,0
CAL,498,615,0.291,0.318,0.227,0
CHC,612,611,0.298,0.366,0.242,0
CHW,463,527,0.284,0.311,0.228,0
CIN,690,673,0.32,0.389,0.273,0
CLE,516,504,0.293,0.327,0.234,0
DET,671,492,0.307,0.385,0.235,1
HOU,510,588,0.298,0.317,0.231,0
LAD,470,509,0.289,0.319,0.23,0
MIN,562,546,0.299,0.35,0.237,0
NYM,473,499,0.281,0.315,0.228,0
NYY,536,531,0.292,0.318,0.214,0
OAK,569,544,0.304,0.343,0.24,0
PHI,543,615,0.294,0.333,0.233,0
PIT,583,532,0.306,0.343,0.252,0
SFG,599,529,0.307,0.341,0.239,0
STL,583,472,0.298,0.346,0.249,1
WSA,524,665,0.287,0.336,0.224,0
ATL,631,640,0.307,0.372,0.24,0
BAL,654,592,0.31,0.372,0.24,0
BOS,722,614,0.321,0.395,0.255,1
CAL,567,587,0.301,0.349,0.238,0
CHC,702,624,0.316,0.378,0.251,0
CHW,531,491,0.291,0.32,0.225,0
CIN,604,563,0.297,0.372,0.248,0
CLE,559,613,0.293,0.359,0.235,0
DET,683,587,0.325,0.376,0.243,0
HOU,626,742,0.317,0.364,0.249,0
KCA,533,660,0.296,0.33,0.233,0
LAD,519,595,0.301,0.332,0.236,0
MIN,671,590,0.309,0.369,0.24,0
NYM,498,672,0.288,0.325,0.238,0
NYY,522,621,0.296,0.317,0.225,0
PHI,612,581,0.313,0.357,0.242,0
PIT,679,693,0.324,0.38,0.277,0
SFG,652,551,0.313,0.372,0.245,0
STL,695,557,0.32,0.379,0.263,1
WSA,550,637,0.288,0.326,0.223,0
ATL,782,683,0.326,0.424,0.263,0
BAL,755,601,0.324,0.409,0.258,1
BOS,655,731,0.31,0.376,0.24,0
CAL,604,643,0.303,0.354,0.232,0
CHC,644,809,0.313,0.38,0.254,0
CHW,574,517,0.297,0.331,0.231,0
CIN,692,702,0.309,0.395,0.26,0
CLE,574,586,0.297,0.36,0.237,0
DET,719,698,0.321,0.406,0.251,0
HOU,612,695,0.318,0.365,0.255,0
KCA,564,648,0.294,0.337,0.236,0
LAD,606,490,0.314,0.362,0.256,1
MIN,663,581,0.316,0.382,0.249,0
NYM,587,761,0.301,0.342,0.239,0
NYY,611,612,0.299,0.374,0.235,0
PHI,696,640,0.322,0.378,0.258,0
PIT,759,641,0.329,0.428,0.279,0
SFG,675,626,0.303,0.392,0.248,0
STL,571,577,0.298,0.368,0.251,0
WSA,557,659,0.295,0.355,0.234,0
BAL,641,578,0.307,0.363,0.238,0
BOS,669,791,0.327,0.4,0.251,0
CAL,527,569,0.297,0.341,0.239,0
CHC,635,723,0.307,0.358,0.238,0
CHW,647,555,0.315,0.364,0.246,0
CIN,825,704,0.339,0.439,0.273,0
CLE,663,613,0.315,0.379,0.25,0
DET,680,602,0.312,0.374,0.238,0
HOU,569,711,0.305,0.34,0.237,0
KCA,585,755,0.309,0.358,0.24,0
LAD,608,521,0.312,0.335,0.245,1
MIN,774,600,0.324,0.399,0.254,1
MLN,708,633,0.31,0.416,0.256,0
NYM,495,752,0.277,0.327,0.221,0
NYY,611,604,0.299,0.364,0.235,0
PHI,654,667,0.313,0.384,0.25,0
PIT,675,580,0.317,0.382,0.265,0
SFG,682,593,0.313,0.385,0.252,0
STL,707,674,0.314,0.371,0.254,0
WSA,591,721,0.304,0.35,0.228,0
BAL,679,567,0.316,0.387,0.248,0
BOS,688,793,0.322,0.416,0.258,0
CHC,649,724,0.314,0.39,0.251,0
CHW,642,501,0.32,0.353,0.247,0
CIN,660,566,0.308,0.372,0.249,0
CLE,689,693,0.312,0.38,0.247,0
DET,699,678,0.319,0.395,0.253,0
HOU,495,628,0.285,0.315,0.229,0
KCA,621,836,0.311,0.379,0.239,0
LAA,544,551,0.304,0.344,0.242,0
LAD,614,572,0.305,0.34,0.25,0
MIN,737,678,0.322,0.427,0.252,0
MLN,803,744,0.333,0.418,0.272,0
NYM,569,776,0.296,0.348,0.246,0
NYY,730,577,0.317,0.387,0.253,1
PHI,693,632,0.315,0.391,0.258,0
PIT,663,636,0.315,0.389,0.264,0
SFG,656,587,0.31,0.382,0.246,0
STL,715,652,0.324,0.392,0.272,1
WSA,578,733,0.299,0.348,0.231,0
BAL,644,621,0.31,0.38,0.249,0
BOS,666,704,0.312,0.4,0.252,0
CHC,570,578,0.297,0.363,0.238,0
CHW,683,544,0.323,0.365,0.25,0
CIN,648,594,0.31,0.371,0.246,0
CLE,635,702,0.301,0.381,0.239,0
DET,700,703,0.327,0.382,0.252,0
HOU,464,640,0.283,0.301,0.22,0
KCA,615,704,0.313,0.353,0.247,0
LAA,597,660,0.309,0.354,0.25,0
LAD,640,550,0.309,0.357,0.251,1
MIN,767,602,0.325,0.43,0.255,0
MLN,677,603,0.312,0.37,0.244,0
NYM,501,774,0.285,0.315,0.219,0
NYY,714,547,0.309,0.403,0.252,1
PHI,642,578,0.306,0.381,0.252,0
PIT,567,595,0.309,0.359,0.25,0
SFG,725,641,0.316,0.414,0.258,0
STL,747,628,0.326,0.403,0.271,0
WSA,578,812,0.293,0.351,0.227,0
BAL,652,680,0.314,0.387,0.248,0
BOS,707,756,0.324,0.403,0.258,0
CHC,632,827,0.317,0.377,0.253,0
CHW,707,658,0.334,0.372,0.257,0
CIN,802,685,0.332,0.417,0.27,0
CLE,682,745,0.312,0.388,0.245,0
DET,758,692,0.33,0.411,0.248,0
HOU,592,717,0.31,0.351,0.246,0
KCA,745,837,0.332,0.386,0.263,0
LAA,718,706,0.325,0.38,0.25,0
LAD,842,697,0.337,0.4,0.268,0
MIN,798,713,0.338,0.412,0.26,0
MLN,730,665,0.326,0.403,0.252,0
NYM,617,948,0.318,0.361,0.24,0
NYY,817,680,0.337,0.426,0.267,1
PHI,705,759,0.33,0.39,0.26,0
PIT,706,626,0.321,0.394,0.268,0
SFG,878,690,0.341,0.441,0.278,1
STL,774,664,0.335,0.394,0.271,0
WSA,599,716,0.308,0.373,0.25,0
